"trip_id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,payment_type"
"1,1,""2023-01-01 00:00:00"",""2023-01-01 00:15:00"",1,2.5,-73.9857,40.7484,-73.9851,40.7689,10.5,1"
"2,2,""2023-01-01 00:10:00"",""2023-01-01 00:25:00"",2,3.0,-73.9712,40.7831,-73.9634,40.7764,12.0,2"
"3,1,""2023-01-01 00:20:00"",""2023-01-01 00:35:00"",1,1.5,-73.9949,40.7256,-73.9902,40.7358,8.5,1"
"4,2,""2023-01-01 00:30:00"",""2023-01-01 00:45:00"",3,4.0,-73.9614,40.7994,-73.9519,40.7901,15.0,2"
"5,1,""2023-01-01 00:40:00"",""2023-01-01 00:55:00"",2,2.0,-73.9790,40.7549,-73.9743,40.7656,9.5,1"
"6,2,""2023-01-01 00:50:00"",""2023-01-01 01:05:00"",1,3.5,-73.9824,40.7447,-73.9777,40.7554,11.0,2"
"7,1,""2023-01-01 01:00:00"",""2023-01-01 01:15:00"",1,2.2,-73.9976,40.7187,-73.9929,40.7294,9.0,1"
"8,2,""2023-01-01 01:10:00"",""2023-01-01 01:25:00"",2,3.8,-73.9580,40.8029,-73.9485,40.8136,14.5,2"
"9,1,""2023-01-01 01:20:00"",""2023-01-01 01:35:00"",1,1.8,-73.9883,40.7322,-73.9836,40.7429,8.0,1"
"10,2,""2023-01-01 01:30:00"",""2023-01-01 01:45:00"",3,4.5,-73.9547,40.8162,-73.9452,40.8269,16.0,2"
