word,count
of,1802
by,506
this,366
for,444
use,30
anyone,5
at,210
no,114
cost,4
and,1935
with,497
almost,9
restrictions,2
whatsoever,2
you,240
it,585
give,31
re-use,2
under,75
license,17
online,4
www,6
org,13
title,8
marriott,2
release,2
date,5
file,3
last,9
updated,2
language,6
start,3
widger,2
translated,3
florence,48
rd,2
from,234
to,2107
an,92
missions,1
european,3
courts,3
imprisoned,2
returned,8
san,18
died,38
nd,3
introduction,3
lawyer,1
repute,3
bartolommea,1
nelli,1
his,640
were,193
old,29
naturally,3
three,10
periods,2
enough,15
constitutes,1
distinct,2
important,7
history,9
youth,9
as,330
italian,15
power,42
lorenzo,6
de',6
il,9
magnifico,1
occurred,4
year,14
public,14
service,6
lasted,3
again,22
ruled,11
they,442
more,155
literary,17
activity,1
increasing,5
but,288
weeks,2
expulsion,2
without,79
-,25
although,46
little,36
days,14
so,213
well,55
known,15
environment,1
citizen,7
easily,19
described,3
currents,1
other,146
splendour-loving,1
have,390
slight,4
wielded,1
immense,4
gibe,1
where,43
cited,2
unarmed,9
prophet,1
end,21
medicean,3
appeared,15
gives,2
us,21
picture,1
among,31
whom,72
passed,12
freer,1
than,127
their,266
spent,3
idleness,1
women,5
chief,6
speak,16
could,74
wound,2
most,51
cleverly,1
wisest,1
letter,6
should,133
avail,4
leads,6
infer,1
own,95
occupied,12
me,33
especially,16
because,170
are,295
god,20
hope,15
good,71
man,79
willing,16
share,4
then,46
writing,6
new,75
patron,6
continues,1
will,205
turn,15
necessary,60
longer,17
excuse,6
illness,2
take,56
pains,1
letters,3
music,1
see,29
what,71
done,25
success,7
yourself,9
right,9
help,20
flourished,1
stated,5
return,13
serving,2
chancery,1
liberty,10
here,17
ground,4
took,22
part,25
affairs,39
decrees,1
statesmen,2
soldiers,54
fair,3
supplies,2
sources,1
characters,4
illustrate,3
first,62
catherina,2
forli,5
conduct,14
fate,3
moral,3
far,16
rely,12
ways,22
matter,10
vital,1
sent,40
xii,6
continuing,1
war,43
against,95
pisa,36
king,69
italy,58
five,13
capital,2
errors,5
summarized,1
dissolution,2
condition,3
support,14
vi,7
refer,1
urge,1
such,109
promises,5
written,12
concerning,30
faith,15
arising,2
ambitions,7
these,108
large,7
space,3
never,68
hesitates,1
cite,2
actions,24
benefit,2
usurpers,1
states,43
seized,14
find,32
insomuch,2
critics,1
yet,45
fact,6
type,2
rises,2
fortune,62
course,23
might,36
expected,6
prudent,8
eventualities,1
happens,11
abilities,8
fail,11
exclaims,1
fault,2
extraordinary,7
unforeseen,1
fatality,1
pius,1
iii,5
rome,33
election,4
successor,3
saw,16
cheated,1
allowing,3
choice,6
giuliano,7
delle,4
cardinals,4
says,3
thinks,2
cause,23
personages,3
forget,7
deceives,1
himself,126
did,81
rest,16
ruined,14
bologna,13
brought,25
issue,4
moralizes,1
between,19
rather,21
impossible,11
varying,2
controlled,1
spain,15
germany,4
results,3
our,35
day,15
actors,1
estimate,1
monarch's,1
alluded,1
painted,1
accomplished,5
reality,2
mercy,6
humanity,4
influenced,2
would,165
emperor,16
envoy,1
reveals,1
human,7
agencies,1
insisting,1
remaining,3
filled,3
league,3
powers,13
object,5
result,3
attained,3
battle,18
french,18
dictated,1
entire,2
policy,3
finally,4
